Year,State,Vaccine,Coverage
2018,PA,Poliomielite,69.09
2019,PA,Poliomielite,72.72
2020,PA,Poliomielite,59.78
2021,PA,Poliomielite,56.78
2022,PA,Poliomielite,66.09
2018,AP,Poliomielite,68.74
2019,AP,Poliomielite,73.01
2020,AP,Poliomielite,42.68
2021,AP,Poliomielite,45.37
2022,AP,Poliomielite,52.87
2018,TO,Poliomielite,91.68
2019,TO,Poliomielite,88.17
2020,TO,Poliomielite,84.42
2021,TO,Poliomielite,80.22
2022,TO,Poliomielite,85.42
2018,MA,Poliomielite,80.61
2019,MA,Poliomielite,75.73
2020,MA,Poliomielite,60.91
2021,MA,Poliomielite,61.97
2022,MA,Poliomielite,74.37
2018,PI,Poliomielite,83.71
2019,PI,Poliomielite,81.85
2020,PI,Poliomielite,72.96
2021,PI,Poliomielite,72.84
2022,PI,Poliomielite,87.0
2018,CE,Poliomielite,111.08
2019,CE,Poliomielite,93.54
2020,CE,Poliomielite,88.42
2021,CE,Poliomielite,74.27
2022,CE,Poliomielite,86.48
2018,RN,Poliomielite,90.32
2019,RN,Poliomielite,80.74
2020,RN,Poliomielite,70.58
2021,RN,Poliomielite,71.67
2022,RN,Poliomielite,74.96
2018,PB,Poliomielite,92.26
2019,PB,Poliomielite,92.6
2020,PB,Poliomielite,73.77
2021,PB,Poliomielite,70.31
2022,PB,Poliomielite,72.58
2018,PE,Poliomielite,94.72
2019,PE,Poliomielite,85.64
2020,PE,Poliomielite,72.78
2021,PE,Poliomielite,69.01
2022,PE,Poliomielite,76.25
2018,AL,Poliomielite,96.13
2019,AL,Poliomielite,87.89
2020,AL,Poliomielite,74.4
2021,AL,Poliomielite,77.55
2022,AL,Poliomielite,86.36
2018,SE,Poliomielite,89.74
2019,SE,Poliomielite,80.86
2020,SE,Poliomielite,71.62
2021,SE,Poliomielite,72.27
2022,SE,Poliomielite,80.1
2018,BA,Poliomielite,78.25
2019,BA,Poliomielite,74.83
2020,BA,Poliomielite,70.86
2021,BA,Poliomielite,63.06
2022,BA,Poliomielite,75.47
2018,MG,Poliomielite,97.75
2019,MG,Poliomielite,88.52
2020,MG,Poliomielite,86.61
2021,MG,Poliomielite,76.48
2022,MG,Poliomielite,82.94
2018,ES,Poliomielite,90.95
2019,ES,Poliomielite,86.68
2020,ES,Poliomielite,81.66
2021,ES,Poliomielite,77.41
2022,ES,Poliomielite,79.0
2018,RJ,Poliomielite,87.48
2019,RJ,Poliomielite,73.62
2020,RJ,Poliomielite,56.84
2021,RJ,Poliomielite,55.81
2022,RJ,Poliomielite,58.89
2018,SP,Poliomielite,92.55
2019,SP,Poliomielite,86.62
2020,SP,Poliomielite,82.25
2021,SP,Poliomielite,74.4
2022,SP,Poliomielite,77.14
2018,PR,Poliomielite,90.88
2019,PR,Poliomielite,89.69
2020,PR,Poliomielite,86.35
2021,PR,Poliomielite,80.75
2022,PR,Poliomielite,84.12
2018,SC,Poliomielite,94.59
2019,SC,Poliomielite,93.68
2020,SC,Poliomielite,88.7
2021,SC,Poliomielite,83.76
2022,SC,Poliomielite,87.32
2018,RS,Poliomielite,85.7
2019,RS,Poliomielite,85.09
2020,RS,Poliomielite,85.14
2021,RS,Poliomielite,76.35
2022,RS,Poliomielite,78.8
2018,MS,Poliomielite,95.95
2019,MS,Poliomielite,94.41
2020,MS,Poliomielite,83.16
2021,MS,Poliomielite,75.71
2022,MS,Poliomielite,86.07
2018,MT,Poliomielite,90.27
2019,MT,Poliomielite,85.81
2020,MT,Poliomielite,81.5
2021,MT,Poliomielite,76.29
2022,MT,Poliomielite,84.17
2018,GO,Poliomielite,85.54
2019,GO,Poliomielite,81.52
2020,GO,Poliomielite,78.13
2021,GO,Poliomielite,72.72
2022,GO,Poliomielite,76.68
2018,DF,Poliomielite,86.03
2019,DF,Poliomielite,84.32
2020,DF,Poliomielite,81.54
2021,DF,Poliomielite,73.23
2022,DF,Poliomielite,78.33
2018,RO,Tríplice Viral D1,101.65
2019,RO,Tríplice Viral D1,106.42
2020,RO,Tríplice Viral D1,84.21
2021,RO,Tríplice Viral D1,82.54
2022,RO,Tríplice Viral D1,89.16
2018,AC,Tríplice Viral D1,83.11
2019,AC,Tríplice Viral D1,87.39
2020,AC,Tríplice Viral D1,60.15
2021,AC,Tríplice Viral D1,60.2
2022,AC,Tríplice Viral D1,70.47
2018,AM,Tríplice Viral D1,89.81
2019,AM,Tríplice Viral D1,92.12
2020,AM,Tríplice Viral D1,77.0
2021,AM,Tríplice Viral D1,73.11
2022,AM,Tríplice Viral D1,78.94
2018,RR,Tríplice Viral D1,99.32
2019,RR,Tríplice Viral D1,81.21
2020,RR,Tríplice Viral D1,69.5
2021,RR,Tríplice Viral D1,67.31
2022,RR,Tríplice Viral D1,66.95
2018,PA,Tríplice Viral D1,77.3
2019,PA,Tríplice Viral D1,82.81
2020,PA,Tríplice Viral D1,62.39
2021,PA,Tríplice Viral D1,62.71
2022,PA,Tríplice Viral D1,67.46
2018,AP,Tríplice Viral D1,77.1
2019,AP,Tríplice Viral D1,87.24
2020,AP,Tríplice Viral D1,52.54
