"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"2018";"101,65";"83,11";"89,81";"99,32";"77,30";"77,10";"91,21";"84,04";"87,79";"111,46";"88,70";"96,73";"104,72";"107,18";"95,47";"82,30";"97,52";"95,47";"99,66";"91,46";"89,78";"92,12";"88,72";"104,53";"89,77";"87,81";"86,32";"92,61"
"2019";"106,42";"87,39";"92,12";"81,21";"82,81";"87,24";"91,07";"87,05";"89,01";"103,02";"93,73";"105,74";"101,00";"106,22";"90,99";"84,65";"96,97";"95,01";"96,58";"91,80";"91,99";"95,82";"91,23";"104,88";"89,91";"88,39";"85,71";"93,12"
"2020";"84,21";"60,15";"77,00";"69,50";"62,39";"52,54";"82,48";"64,27";"78,47";"91,75";"79,02";"80,38";"79,18";"82,56";"76,21";"79,72";"93,11";"87,81";"61,61";"86,83";"86,15";"87,55";"86,08";"81,12";"82,87";"76,57";"82,21";"80,88"
"2021";"82,54";"60,20";"73,11";"67,31";"62,71";"64,18";"80,47";"63,26";"74,99";"74,49";"72,58";"70,92";"72,02";"77,68";"76,52";"66,30";"82,25";"80,79";"59,48";"77,85";"86,54";"87,52";"79,88";"78,12";"80,88";"79,53";"83,21";"74,94"
"2022";"89,16";"70,47";"78,94";"66,95";"67,46";"61,33";"82,89";"73,18";"82,84";"89,01";"79,86";"78,45";"80,34";"89,74";"84,31";"75,87";"87,11";"77,73";"66,74";"78,42";"90,10";"94,94";"88,48";"91,83";"87,06";"82,35";"90,23";"80,70"
"Total";"92,82";"72,22";"82,19";"75,87";"70,55";"68,57";"85,62";"74,32";"82,61";"93,90";"82,89";"86,41";"87,46";"92,60";"84,65";"77,85";"91,43";"87,39";"77,20";"85,46";"88,91";"91,59";"86,92";"92,04";"86,02";"82,93";"85,44";"84,51"
