"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"2018";"78,87";"71,92";"78,00";"88,27";"59,97";"63,88";"78,86";"56,88";"69,17";"87,14";"64,49";"72,18";"69,54";"72,09";"71,93";"65,06";"85,03";"79,50";"70,18";"81,84";"86,23";"83,42";"83,11";"97,62";"79,53";"76,76";"87,05";"76,89"
"2019";"82,25";"78,65";"82,29";"86,72";"71,34";"74,28";"84,71";"65,87";"74,48";"86,70";"74,40";"87,79";"81,45";"74,53";"74,98";"70,50";"87,58";"87,45";"77,24";"82,50";"90,67";"93,34";"87,60";"92,21";"83,71";"79,68";"86,80";"81,55"
"2020";"64,44";"41,58";"52,17";"65,41";"54,79";"37,54";"68,52";"45,73";"53,25";"73,36";"56,09";"55,29";"53,82";"55,50";"61,52";"55,54";"77,12";"71,16";"41,25";"68,50";"80,79";"85,68";"78,39";"67,61";"70,88";"68,92";"67,19";"64,27"
"2021";"42,14";"25,95";"44,70";"35,51";"27,72";"34,70";"50,51";"39,94";"48,76";"55,18";"45,10";"44,24";"44,95";"50,27";"61,33";"45,31";"67,23";"64,92";"40,31";"64,16";"67,36";"69,61";"56,03";"37,40";"41,97";"48,87";"54,67";"53,20"
"2022";"48,34";"37,33";"48,78";"38,11";"30,19";"35,41";"50,39";"46,94";"53,23";"66,26";"46,50";"53,09";"51,17";"61,25";"62,25";"52,71";"68,27";"64,60";"50,49";"65,15";"68,59";"72,35";"62,59";"49,56";"46,07";"52,56";"61,50";"57,64"
"Total";"63,36";"51,16";"61,21";"60,50";"48,95";"49,33";"66,80";"51,09";"59,86";"73,72";"57,56";"62,51";"60,27";"62,69";"66,44";"57,95";"77,13";"73,57";"56,18";"72,62";"78,92";"80,88";"73,91";"69,04";"64,15";"65,49";"71,76";"66,86"
